"no","name","code","type","address","lng","lat","sigudong"
7330,"(주)삼이운수",21,"대기오염","서울특별시 금천구 가산동 153-6번지 ",126.893958429067,37.4741173302224,"서울특별시 금천구 가산동"
7331,"대일사",22,"수질오염","서울특별시 금천구 가산동 237-98번지 ",126.889115593785,37.4726467617894,"서울특별시 금천구 가산동"
7332,"(주)용준아이디 지점",21,"대기오염","서울특별시 금천구 독산동 333-20번지 하남제1동 2층 ",126.891381681105,37.4687174888372,"서울특별시 금천구 독산동"
7333,"신진섬유",22,"수질오염","서울특별시 금천구 독산동 331-44번지 ",126.893321836261,37.4669617449494,"서울특별시 금천구 독산동"
7334,"(주)중앙에너비스 삼중가스지점",22,"수질오염","서울특별시 금천구 독산동 1059번지 ",126.898328179184,37.4618425582682,"서울특별시 금천구 독산동"
7335,"(주)더덴탈솔루션",22,"수질오염","서울특별시 금천구 가산동 60-25번지 5층 ",126.886100487174,37.4759953792826,"서울특별시 금천구 가산동"
7336,"장인자동차공업사",21,"대기오염","서울특별시 금천구 독산동 332-13번지 ",126.892567154324,37.4673765172896,"서울특별시 금천구 독산동"
7337,"3S모터스",21,"대기오염","서울특별시 금천구 독산동 1004-11번지 ",126.890873800785,37.4650490962033,"서울특별시 금천구 독산동"
7338,"평화자동차공업사",21,"대기오염","서울특별시 금천구 독산동 151-8번지 ",126.89634036195,37.4722653457962,"서울특별시 금천구 독산동"
7339,"상윤자동차공업사",21,"대기오염","서울특별시 금천구 독산동 292-7번지 외8필지 ",126.897164749168,37.4672003155061,"서울특별시 금천구 독산동"
7340,"상윤카독크센타",21,"대기오염","서울특별시 금천구 독산동 292-21번지 ",126.896865576854,37.4679081590866,"서울특별시 금천구 독산동"
7341,"인수자동차공업사",21,"대기오염","서울특별시 금천구 독산동 300-23번지 ",126.893887362426,37.4699291917524,"서울특별시 금천구 독산동"
7342,"해맑음",22,"수질오염","서울특별시 금천구 가산동 327-4번지 ",126.883068116792,37.4720380663519,"서울특별시 금천구 가산동"
7343,"(주)학천에듀넷",22,"수질오염","서울특별시 금천구 가산동 319-8번지 ",126.885945388079,37.4722689242186,"서울특별시 금천구 가산동"
7344,"(주)비멤스",22,"수질오염","서울특별시 금천구 가산동 319번지 호서대벤처타워 710 ",126.885945388079,37.4722689242186,"서울특별시 금천구 가산동"
7345,"(주)삼보인쇄지기공업사",22,"수질오염","서울특별시 금천구 가산동 345-19번지 ",126.884105207709,37.4723348896328,"서울특별시 금천구 가산동"
7346,"(주)매일신문인쇄 제2공장",22,"수질오염","서울특별시 금천구 가산동 555-4번지 ",126.881896014469,37.4713365456145,"서울특별시 금천구 가산동"
7347,"유진테크",21,"대기오염","서울특별시 금천구 가산동 691번지 5동3층 ",126.88685211198,37.4668153497569,"서울특별시 금천구 가산동"
7348,"유림프라스틱",21,"대기오염","서울특별시 금천구 독산동 678-1번지 ",126.887381851388,37.4646812708645,"서울특별시 금천구 독산동"
7349,"유진테크",22,"수질오염","서울특별시 금천구 가산동 691번지 5동3층 ",126.88685211198,37.4668153497569,"서울특별시 금천구 가산동"
7350,"대한미술",22,"수질오염","서울특별시 금천구 독산동 335-9번지 ",126.890027268002,37.4706819703277,"서울특별시 금천구 독산동"
7351,"한양모형",21,"대기오염","서울특별시 금천구 가산동 505-14번지 ",126.880408493039,37.4845683486085,"서울특별시 금천구 가산동"
7352,"성원엔지니어링",21,"대기오염","서울특별시 금천구 가산동 481-11번지 대륭테크노타운8차 812호",126.877432374989,37.4852525875044,"서울특별시 금천구 가산동"
7353,"한남여객운수(주)",22,"수질오염","서울특별시 금천구 가산동 29-6번지 외3필지 ",126.884094175045,37.4831388782848,"서울특별시 금천구 가산동"
7354,"세경모델",21,"대기오염","서울특별시 금천구 가산동 481-11번지 대륭테크노타운 8차 1316호 ",126.877432374989,37.4852525875044,"서울특별시 금천구 가산동"
7355,"(주)혼",21,"대기오염","서울특별시 금천구 가산동 345-9번지 SK트윈테크타워 B동 5층 ",126.882941293148,37.4756524310186,"서울특별시 금천구 가산동"
7356,"(주)자인아트",21,"대기오염","서울특별시 금천구 가산동 371-37번지 STX V-TOWER 401호",126.883744364931,37.4772210700632,"서울특별시 금천구 가산동"
7357,"(주)럭키자동차서비스",21,"대기오염","서울특별시 금천구 독산동 998번지 ",126.888112444508,37.470343555334,"서울특별시 금천구 독산동"
7358,"왕광자동차공업사",21,"대기오염","서울특별시 금천구 독산동 998-1번지 ",126.888339038113,37.4703088104762,"서울특별시 금천구 독산동"
7359,"(주)프린피아",21,"대기오염","서울특별시 금천구 가산동 60-28번지 ",126.888933504017,37.4761399851835,"서울특별시 금천구 가산동"
7360,"씨앤비모터스",21,"대기오염","서울특별시 금천구 독산동 1004-3번지 ",126.891202472758,37.4653882695052,"서울특별시 금천구 독산동"
7361,"선재테크",21,"대기오염","서울특별시 금천구 독산동 332-15번지 ",126.891941787893,37.4675522748725,"서울특별시 금천구 독산동"
7362,"영광자동차공업사",21,"대기오염","서울특별시 금천구 독산동 999-8번지 ",126.890453512047,37.4690120733521,"서울특별시 금천구 독산동"
7363,"(주)서울현대자동차서비스",21,"대기오염","서울특별시 금천구 독산동 330-35번지 ",126.893405586586,37.4697567552643,"서울특별시 금천구 독산동"
7364,"안정운수(주)",22,"수질오염","서울특별시 금천구 독산동 336-11번지 ",126.888271580981,37.470819889786,"서울특별시 금천구 독산동"
7365,"씨에스오토모빌",21,"대기오염","서울특별시 금천구 독산동 300-25번지 ",126.894508359666,37.4699775013228,"서울특별시 금천구 독산동"
7366,"(주)대일고무 시흥지점",21,"대기오염","서울특별시 금천구 시흥동 995-21번지 ",126.89880512912,37.4535720358587,"서울특별시 금천구 시흥동"
7367,"한성자동차공업사",21,"대기오염","서울특별시 금천구 독산동 143-4번지 ",126.8974825772,37.4779904559669,"서울특별시 금천구 독산동"
7368,"(주)한국지엠금천서비스센터",21,"대기오염","서울특별시 금천구 독산동 143-19번지 ",126.89712234232,37.4776052317594,"서울특별시 금천구 독산동"
7369,"(주)에드인",21,"대기오염","서울특별시 금천구 독산동 298-2번지 2층 ",126.894362556044,37.4728525843791,"서울특별시 금천구 독산동"
7370,"진우자동차정비공업사",21,"대기오염","서울특별시 금천구 독산동 295-4번지 ",126.895357240808,37.4715769185042,"서울특별시 금천구 독산동"
7371,"탑모델스튜디오",21,"대기오염","서울특별시 금천구 독산동 295-19번지 3층 ",126.895148194063,37.47143176067,"서울특별시 금천구 독산동"
7372,"(주)대림진공열처리",21,"대기오염","서울특별시 금천구 독산동 302-7번지 ",126.892407298456,37.4710952022238,"서울특별시 금천구 독산동"
7373,"(주)혼",22,"수질오염","서울특별시 금천구 가산동 345-9번지 SK트윈테크타워 B동 5층 ",126.882941293148,37.4756524310186,"서울특별시 금천구 가산동"
7374,"수미디어",22,"수질오염","서울특별시 금천구 가산동 371-57번지 1층 ",126.883247105936,37.4783381913661,"서울특별시 금천구 가산동"
7375,"태평운수(주)",22,"수질오염","서울특별시 금천구 독산동 303-3번지 ",126.890816846062,37.4718779825106,"서울특별시 금천구 독산동"
7376,"한일아트(주)",22,"수질오염","서울특별시 금천구 가산동 371-57번지 2층 ",126.883247105936,37.4783381913661,"서울특별시 금천구 가산동"
7377,"서울수정(주)",22,"수질오염","서울특별시 금천구 가산동 345-34번지 ",126.880642959376,37.4739979506885,"서울특별시 금천구 가산동"
7378,"(주)프린피아",22,"수질오염","서울특별시 금천구 가산동 60-28번지 ",126.888933504017,37.4761399851835,"서울특별시 금천구 가산동"
7379,"선재테크",22,"수질오염","서울특별시 금천구 독산동 332-15번지 3층 ",126.891941787893,37.4675522748725,"서울특별시 금천구 독산동"
7380,"트루자동차공업사",22,"수질오염","서울특별시 금천구 가산동 238-48번지 ",126.887259360122,37.4721817961273,"서울특별시 금천구 가산동"
7381,"(주)태영유업 독산고개주유소",22,"수질오염","서울특별시 금천구 독산동 967번지 ",126.899159449509,37.476797791474,"서울특별시 금천구 독산동"
7382,"대득에너지(금천셀프주유소)",22,"수질오염","서울특별시 금천구 시흥동 983번지 외1필지 ",126.903169656475,37.4416099588524,"서울특별시 금천구 시흥동"
7383,"경복상운(주)",22,"수질오염","서울특별시 금천구 독산동 330-5번지 ",126.893267012217,37.4695058789957,"서울특별시 금천구 독산동"
7384,"동화통운(주)",22,"수질오염","서울특별시 금천구 독산동 299-31번지 ",126.894639779121,37.4706582417272,"서울특별시 금천구 독산동"
7385,"(주)식스플러스",22,"수질오염","서울특별시 금천구 가산동 371-8번지 ",126.87973333124,37.4797984459862,"서울특별시 금천구 가산동"
7386,"(주)용준아이디 지점",22,"수질오염","서울특별시 금천구 독산동 333-20번지 하남제1동 2층 ",126.891381681105,37.4687174888372,"서울특별시 금천구 독산동"
7387,"엘지전자(주)",22,"수질오염","서울특별시 금천구 가산동 327-23번지 ",126.885184665794,37.4705846502753,"서울특별시 금천구 가산동"
7388,"(주)그래픽아트",22,"수질오염","서울특별시 금천구 가산동 345-9번지 SK트윈타워B-6123 ",126.882941293148,37.4756524310186,"서울특별시 금천구 가산동"
7389,"(주)헤럴드",22,"수질오염","서울특별시 금천구 가산동 345-28번지 ",126.884854908696,37.4747141980622,"서울특별시 금천구 가산동"
7390,"일흥실업",22,"수질오염","서울특별시 금천구 독산동 678-1번지 중화철강 A동 ",126.887381851388,37.4646812708645,"서울특별시 금천구 독산동"
7391,"현대자동차(주) 시흥남부점",22,"수질오염","서울특별시 금천구 시흥동 108-40번지 ",126.898545123422,37.4572146968789,"서울특별시 금천구 시흥동"
7392,"프로미손세차장",22,"수질오염","서울특별시 금천구 시흥동 907-14번지 ",126.905514476687,37.4506573166684,"서울특별시 금천구 시흥동"
7393,"덴트렉스",22,"수질오염","서울특별시 금천구 독산동 1027-20번지 ",126.899329525345,37.4666517520484,"서울특별시 금천구 독산동"
7394,"성광자동차공업사",22,"수질오염","서울특별시 금천구 시흥동 909-52번지 ",126.907152007294,37.4509805465273,"서울특별시 금천구 시흥동"
7395,"(주)휴먼전자엔씨",22,"수질오염","서울특별시 금천구 독산동 299-38번지 ",126.894168858152,37.4717623692087,"서울특별시 금천구 독산동"
7396,"(주)성문아이티피",22,"수질오염","서울특별시 금천구 독산동 330-31번지 ",126.893405586586,37.4697567552643,"서울특별시 금천구 독산동"
7397,"홍진정밀",22,"수질오염","서울특별시 금천구 독산동 333-11번지 ",126.891659550457,37.4684748314945,"서울특별시 금천구 독산동"
7398,"씨에스오토모빌",21,"대기오염","서울특별시 금천구 독산동 300-25번지 ",126.894508359666,37.4699775013228,"서울특별시 금천구 독산동"
7399,"디지텍",21,"대기오염","서울특별시 금천구 독산동 1000-1번지 5층 ",126.888938927158,37.4693424115745,"서울특별시 금천구 독산동"
7400,"코스맥",21,"대기오염","서울특별시 금천구 독산동 1000-5번지 ",126.888784448175,37.4689262697818,"서울특별시 금천구 독산동"
7401,"릭엔터프라이즈(주)",21,"대기오염","서울특별시 금천구 독산동 336-23번지 ",126.88743225923,37.471847415972,"서울특별시 금천구 독산동"
7402,"샤인",21,"대기오염","서울특별시 금천구 독산동 998-14번지 ",126.889150706525,37.4698450137912,"서울특별시 금천구 독산동"
7403,"(주)태평세라믹스",21,"대기오염","서울특별시 금천구 가산동 345-25번지 ",126.884854908696,37.4747141980622,"서울특별시 금천구 가산동"
7404,"(주)미광엔비텍",21,"대기오염","서울특별시 금천구 독산동 336-5번지 2층 ",126.888978722708,37.4708682197318,"서울특별시 금천구 독산동"
7405,"(주)대성자동차정비",21,"대기오염","서울특별시 금천구 독산동 335-22번지 ",126.889385263577,37.470695336745,"서울특별시 금천구 독산동"
